LOCATION,POPULATION
Agia Paraskevi,"3,556"
Potamos Germasogeias,"9,865"
Pano Polemidia,"3,470"
Ypsonas,"11,117"
Kato Polemidia Municipality,"22,369"
Archangelos Michail,"2,807"
Anthoupoli,"1,923"
Apostolos Varnavas,"6,005"
Makarios III,"4,591"
Agios Nikolaos,"3,347"
Panagia Evangelistria,"3,696"
Palodeia,"1,568"
Paramytha,569
Spitali,316
Fasoula Lemesou,560
Mathikoloni,174
Gerasa,69
Apsiou,208
Apesia,474
Korfi,199
Limnatis,314
Kapileio,34
Mouttagiaka,"2,939"
Armenochori,218
Foinikaria,339
Akrounta,455
Agios Tychon,"3,455"
Parekklisia,"2,738"
Pentakomo,644
Monagroulli,536
Moni,622
Pyrgos Lemesou,"2,363"
Asgata ,417
Vasa Kellakiou,73
Sanida,42
Prastio Kellakiou,103
Klonari,18
Vikla,1
Kellaki ,299
Akapnou,20
Eptagoneia,353
Dierona,192
Arakapas,307
Agios Pavlos,135
Agios Konstantinos,137
Sykopetra,120
Louvaras,363
Kalo Chorio Lemesou,497
Zoopigi,140
Akrotiri ,870
Asomatos Lemesou,726
Tserkezoi,50
Trachoni Lemesou,"3,952"
Kolossi,"5,651"
Apostolos Andreas,"1,246"
Agios Loukas,"4,405"
Erimi,"2,432"
Episkopi Lemesou,"3,681"
Kantou,349
Sotira Lemesou,143
Prastio Avdimou,245
Paramali,220
Avdimou,535
Platanisteia,45
Agios Thomas,50
Alektora,64
Anogyra,301
Pissouri,"1,819"
Souni-Zanakia,837
Alassa,282
Kato Kivides,5
Pano Kivides,707
Agios Amvrosios Lemesou,323
Agios Therapon,125
Lofou,46
Pachna,865
Agios Georgios Lemesou,111
Doros,135
Laneia,281
Silikou,137
Monagri,175
Trimiklini,307
Agios Mamas,114
Kouka,27
Moniatis,275
Dora,145
Gerovasa (Trozena),0
Arsos Lemesou,202
Kissousa,6
Malia,64
Vasa Koilaniou,163
Vouni,149
Pera Pedi,120
Mandria Lemesou,107
Potamiou,36
Omodos,322
Koilani,216
Agios Dimitrios,54
Palaiomylos,20
Prodromos ,123
Kaminaria,44
Treis Elies,25
Lemithou,88
Kato Platres (Tornarides),148
Pano Platres ,239
Foini ,391
Amiantos,228
Agios Theodoros Lemesou,65
Agios Ioannis Lemesou,339
Kato Mylos,50
Potamitissa,62
Dymes,165
Pelendri ,"1,074"
Agros,806
Agridia,104
Chandria,162
Kyperounta,"1,516"
Pafos District,"88,276"
Pafos Municipality,"32,892"
Mouttallos,"2,863"
Agios Pavlos,"7,089"
Agios Theodoros,"16,450"
Kato Pafos,"4,057"
Anavargos,"2,433"
Geroskipou Municipality,"7,878"
Geroskipou,"7,427"
Koloni,451
Konia,"2,209"
Agia Marinouda,266
Acheleia,145
Chlorakas,"5,356"
Lempa,506
Empa,"4,855"
Tremithousa,"1,041"
Mesa Chorio,586
Mesogi,"1,689"
Tala ,"2,695"
Kissonerga,"2,004"
Kouklia Pafou,892
Mandria Pafou,893
Nikokleia,121
Souskiou,10
Timi,"1,220"
Agia Varvara Pafou,172
Anarita,876
Marathounta,309
Armou,600
Episkopi Pafou,220
Nata,181
Choletria,264
Axylou,61
Eledio,44
Tsada,"1,043"
Koili,466
Stroumpi,540
Polemi,848
Kallepeia ,326
Letymvou,249
Kourdaka,7
Lemona,51
Choulou,147
Akoursos,22
Kathikas,438
Pegeia Municipality,"3,953"
Pano Archimandrita,43
Fasoula Pafou,56
Mousere,2
Mamonia,51
Agios Georgios Pafou,101
Stavrokonnou,56
Prastio Pafou,8
Trachypedoula,64
Kelokedara,193
Salamiou,265
Kidasi,11
Kedares,80
Mesana,31
Praitori,23
Filousa Kelokedaron,17
Arminou,24
Agios Nikolaos Pafou,61
Agios Ioannis Pafou,29
Amargeti,209
Agia Marina Kelokedaron,37
Pentalia,63
Faleia,2
Galataria,56
Koilineia,39
Vretsia,1
Statos-Agios Fotios,243
Lapithiou,0
Mamountali,18
Pano Panagia,481
Asprogia,60
Psathi,110
Agios Dimitrianos,91
Kannaviou ,175
